场景,,来源,场景特征,场景自特征 或 具体情况,回复案例,是否需要展示医生近期门诊排班,,,,,,,,,,,,,,,
"血压场景,症状",,【医生分身】血压点评规则说明 ,首次记录症状,"患者在症状记录中首次勾选了【头昏头晕】【胸闷】【胸痛】【呼吸急促】【恶心腹胀】【视力模糊】【咳嗽】【肢体麻木】【夜尿增多】【血尿】之一
","发现您记录了【{症状}】的不适症状，此类情况应该重视，如休息后症状仍未有缓解，或短期内该症状持续发生，建议您尽快回院复查和就诊。
",有排班即展示,,,,,,,,,,,,,,,
血压场景,单次血压数据点评,【医生分身】血压点评规则说明 ,"血压达标
","90<=收缩压<=收缩压目标值 且 舒张压 <= 舒张压目标值
",赞！血压已达标，继续加油保持！我看到您已累计打卡15天，请继续坚持，按时记录血压可以方便我更好的了解你的健康情况！,,,,,,,,,,,,,,,,
血压场景,单次血压数据点评,【医生分身】血压点评规则说明 ,低压偏低,"20mmHg<舒张压<60mmHg，且收缩压，舒张压均不超过对应设定目标值
",我看到您已累计打卡15天，请继续坚持，本次测量血压低压偏低，请按规范操作再次测量，若持续偏低，建议及时带上复诊报告到医院复诊，了解是否需要调整治疗方案。日常起床和蹲坐起身等体位变化时，应注意动作缓慢，防止头晕摔倒。,有排班即展示,,,,,,,,,,,,,,,
血压场景,单次血压数据点评,【医生分身】血压点评规则说明 ,高压偏低,"40mmHg<=收缩压<90mmHg，且收缩压，舒张压均不超过对应设定目标值
",我看到您已累计打卡15天，请继续坚持，本次测量血压高压偏低，请按规范操作再次测量，若持续偏低，建议及时带上复诊报告到医院复诊，了解是否需要调整治疗方案。日常起床和蹲坐起身等体位变化时，应注意动作缓慢，防止头晕摔倒。,有排班即展示,,,,,,,,,,,,,,,
血压场景,单次血压数据点评,【医生分身】血压点评规则说明 ,轻度偏高,收缩压、舒张压任一值超过了对应设定目标值，但两者超过了均不到10mmHg,我看到您已累计打卡15天，请继续坚持，您本次测量的血压稍高{，高压高出目标值1mmHg}{，低压高出目标值8mmHg}{，且高压偏低}{，且低压偏低}。建议遵医嘱，规律用药，保持降压生活方式。若血压持续未达标，建议及时带上复诊报告到医院复诊，了解是否需要调整治疗方案。,有排班即展示,,,,,,,,,,,,,,,
血压场景,单次血压数据点评,【医生分身】血压点评规则说明 ,中度偏高,收缩压、舒张压任一值超过了对应设定目标值+10mmHg；但未超过180/110,我看到您已累计打卡15天，请继续坚持，本次测量血压未达标{，高压超出目标值14mmHg}{，低压超出目标值12mmHg}。若近期测量血压多次未能达标，建议及时带上复诊报告到医院复诊，了解是否需要调整治疗方案。,有排班即展示,,,,,,,,,,,,,,,
血压场景,单次血压数据点评,【医生分身】血压点评规则说明 ,重度偏高-带症状（不考虑是否有行为）,"患者上传血压值SBP >= 180mmHg or DBP >= 110mmHg且患者在症状记录中勾选了【头昏头晕】【胸闷】【胸痛】【呼吸急促】【恶心腹胀】【视力模糊】【呕吐】【烦躁不安】之一
",我发现您刚刚记录的血压值很高，可以休息 5-10 分钟后再进行测量，在测量前要避免剧烈运动或进行重体力劳动。如果重新测量后血压还是偏高，或【{症状}】的症状仍未缓解，建议您尽快回院复查和就诊。,有排班即展示,,,,,,,,,,,,,,,
血压场景,单次血压数据点评,【医生分身】血压点评规则说明 ,重度偏高-带症状（不考虑是否有行为）,"患者上传血压值SBP >= 180mmHg or DBP >= 110mmHg且患者在症状记录中勾选了【头昏头晕】【胸闷】【胸痛】【呼吸急促】【恶心腹胀】【视力模糊】【呕吐】【烦躁不安】之一24h 内连续 2 次命中“重度偏高-带症状”的情况
","您近期连续 2 次血压值过高，需要重视，请保持定期测量，观察血压变化，如身体不适症状未缓解，甚至加重，建议您尽快回院复查和就诊。
",有排班即展示,,,,,,,,,,,,,,,
血压场景,单次血压数据点评,【医生分身】血压点评规则说明 ,重度偏高-无行为,"收缩压>=180 or 舒张压>=110
","我看到您已累计打卡15天，请继续坚持，您本次测量的血压过高，请按规范操作再次测量。若仍然过高，请及时到医院就诊，由医生判断是否需要调整治疗方案；若同时有头痛、眩晕等不适，建议您尽快到医院就诊！
",有排班即展示,,,,,,,,,,,,,,,
血压场景,单次血压数据点评,【医生分身】血压点评规则说明 ,重度偏高-有行为,"收缩压>=180 or 舒张压>=110
","我看到您已累计打卡15天，请继续坚持，您本次测量的血压过高，且伴有不适症状，建议您尽快到医院就诊。
",有排班即展示,,,,,,,,,,,,,,,
